=====measurements=====
|t|ch1|ch2|ch3|ch4|ch5|ch6|
0,0i?????.777
1,0.9952,0.777
1,0.9604,0.777
1,0.8987,0.777
1,0.8032,0.777
2,0.6895,0.777
2,0.5453,0.777
2,0.3827,0.777
2,0.2191,0.777
2,0.0491,0.777
4,-0.1346,0.777
4,-0.3253,0.777
4,-0.4929,0.777
5,-0.6438,0.777
6,-0.7807,0.777
6,-0.8819,0.777
7,-0.9569,0.777
7,-0.9939,0.777
7,-0.9963,0.777
7,-0.9604,0.777
8,-0.8932,0.777
8,-0.7883,0.777
8,-0.6532,0.777
9,-0.5035,0.777
9,-0.3253,0.777
9,-0.1467,0.777
10,0.1830,0.777
10,0.3484,0.777
17,0.5035,0.777
32,0.6438,0.777
47,0.7730,0.777
62,0.8701,0.777
78,0.9456,0.777
93,0.9873,0.777
108,0.9999,0.777
126,0.9808,0.777
139,0.9285,0.777
162,0.8514,0.777
169,0.7410,0.777
185,0.6152,0.777
200,0.4605,0.777
221,0.3020,0.777
230,0.1346,0.777
245,-0.0491,0.777
262,-0.2430,0.777
278,-0.4164,0.777
294,-0.5758,0.777
312,-0.7242,0.777
327,-0.8382,0.777
343,-0.9285,0.777
359,-0.9808,0.777
376,-1.0000,0.777
392,-0.9831,0.777
412,-0.9285,0.777
425,-0.8382,0.777
441,-0.7242,0.777
458,-0.5758,0.777
474,-0.4164,0.777
490,-0.2311,0.777
507,0.0858,0.777
526,0.2667,0.777
537,0.4276,0.777
552,0.5758,0.777
568,0.7157,0.777
582,0.8246,0.777
598,0.9142,0.777
613,0.9700,0.777
628,0.9973,0.777
643,0.9939,0.777
659,0.9604,0.777
674,0.8932,0.777
689,0.8032,0.777
705,0.6806,0.777
720,0.5453,0.777
735,0.3827,0.777
755,0.2191,0.777
765,0.0368,0.777
787,-0.1346,0.777
797,-0.3253,0.777
818,-0.4929,0.777
830,-0.6532,0.777
846,-0.7807,0.777
862,-0.8876,0.777
879,-0.9569,0.777
895,-0.9952,0.777
911,-0.9963,0.777
928,-0.9604,0.777
944,-0.8876,0.777
961,-0.7883,0.777
978,-0.6532,0.777
995,-0.5035,0.777
1010,-0.3253,0.777
1027,-0.1467,0.777
1043,0.1830,0.777
1058,0.3484,0.777
1073,0.5141,0.777
1088,0.6532,0.777
1103,0.7730,0.777
1118,0.8761,0.777
1133,0.9456,0.777
1149,0.9873,0.777
1164,0.9997,0.777
1180,0.9783,0.777
1194,0.9285,0.777
1213,0.8449,0.777
1225,0.7410,0.777
1240,0.6055,0.777
1256,0.4605,0.777
1271,0.2903,0.777
1286,0.1224,0.777
1301,-0.0491,0.777
1318,-0.2430,0.777
1334,-0.4164,0.777
1350,-0.5858,0.777
1371,-0.7242,0.777
1383,-0.8449,0.777
1399,-0.9285,0.777
1417,-0.9831,0.777
1432,-1.0000,0.777
1448,-0.9808,0.777
1465,-0.9239,0.777
1481,-0.8382,0.777
1498,-0.7157,0.777
1514,-0.5758,0.777
1533,-0.4052,0.777
1547,-0.2311,0.777
1563,0.0980,0.777
1578,0.2667,0.777
1593,0.4386,0.777
1608,0.5858,0.777
1640,0.7157,0.777
1640,0.8315,0.777
1654,0.9142,0.777
1669,0.9729,0.777
1684,0.9981,0.777
1699,0.9939,0.777
1715,0.9569,0.777
1730,0.8876,0.777
1746,0.7958,0.777
1761,0.6716,0.777
1776,0.5350,0.777
1791,0.3713,0.777
1807,0.2071,0.777
1822,0.0245,0.777
1839,-0.1467,0.777
1853,-0.3369,0.777
1870,-0.5035,0.777
1886,-0.6624,0.777
1914,-0.7883,0.777
1918,-0.8932,0.777
1935,-0.9604,0.777
1951,-0.9963,0.777
1967,-0.9952,0.777
1984,-0.9569,0.777
2001,-0.8876,0.777
2017,-0.7807,0.777
2033,-0.6438,0.777
2050,-0.4929,0.777
2066,-0.3137,0.777
2082,0.0000,0.777
2096,0.1589,0.777
2111,0.3369,0.777
2127,0.4929,0.777
2142,0.6438,0.777
2157,0.7652,0.777
2172,0.8640,0.777
2188,0.9415,0.777
2203,0.9853,0.777
2218,0.9999,0.777
2233,0.9831,0.777
2248,0.9330,0.777
2264,0.8514,0.777
2287,0.7491,0.777
2295,0.6152,0.777
2310,0.4714,0.777
2325,0.3137,0.777
2340,0.1346,0.777
2355,-0.0368,0.777
2385,-0.2311,0.777
2388,-0.4052,0.777
2404,-0.5758,0.777
2420,-0.7157,0.777
2437,-0.8382,0.777
2453,-0.9239,0.777
2479,-0.9808,0.777
2485,-0.9999,0.777
2502,-0.9831,0.777
2518,-0.9330,0.777
2535,-0.8449,0.777
2551,-0.7242,0.777
2568,-0.5858,0.777
2584,-0.4164,0.777
2600,-0.2430,0.777
2621,0.0858,0.777
2632,0.2549,0.777
2647,0.4276,0.777
2662,0.5758,0.777
2682,0.7071,0.777
2693,0.8246,0.777
2708,0.9092,0.777
2725,0.9700,0.777
2738,0.9973,0.777
2753,0.9952,0.777
2768,0.9604,0.777
2784,0.8987,0.777
2799,0.8032,0.777
2814,0.6895,0.777
2830,0.5453,0.777
2846,0.3827,0.777
2860,0.2191,0.777
2875,0.0491,0.777
2891,-0.1346,0.777
2912,-0.3137,0.777
2923,-0.4929,0.777
2940,-0.6438,0.777
2956,-0.7807,0.777
2972,-0.8819,0.777
2988,-0.9569,0.777
3005,-0.9939,0.777
3021,-0.9963,0.777
3045,-0.9604,0.777
3058,-0.8932,0.777
3071,-0.7883,0.777
3087,-0.6624,0.777
3103,-0.5035,0.777
3120,-0.3253,0.777
3136,-0.1467,0.777
3152,0.1710,0.777
3168,0.3484,0.777
3183,0.5035,0.777
3200,0.6532,0.777
3213,0.7730,0.777
3228,0.8701,0.777
3246,0.9456,0.777
3258,0.9873,0.777
3273,0.9999,0.777
3289,0.9808,0.777
3304,0.9285,0.777
3319,0.8514,0.777
3338,0.7410,0.777
3350,0.6152,0.777
3365,0.4605,0.777
3380,0.3020,0.777
3396,0.1346,0.777
3411,-0.0491,0.777
3427,-0.2430,0.777
3443,-0.4164,0.777
3459,-0.5758,0.777
3476,-0.7242,0.777
3492,-0.8382,0.777
3508,-0.9285,0.777
3526,-0.9808,0.777
3541,-1.0000,0.777
3557,-0.9831,0.777
3574,-0.9285,0.777
3594,-0.8382,0.777
3607,-0.7242,0.777
3627,-0.5758,0.777
3640,-0.4164,0.777
3662,-0.2311,0.777
3672,0.0858,0.777
3689,0.2667,0.777
3702,0.4276,0.777
3718,0.5758,0.777
3733,0.7157,0.777
3748,0.8246,0.777
3763,0.9142,0.777
3781,0.9700,0.777
3793,0.9973,0.777
3812,0.9939,0.777
3824,0.9604,0.777
3846,0.8932,0.777
3855,0.8032,0.777
3870,0.6806,0.777
3885,0.5453,0.777
3901,0.3827,0.777
3916,0.2191,0.777
3935,0.0368,0.777
3946,-0.1346,0.777
3962,-0.3253,0.777
3978,-0.4929,0.777
3995,-0.6532,0.777
4012,-0.7807,0.777
4027,-0.8876,0.777
4044,-0.9569,0.777
4060,-0.9952,0.777
4077,-0.9963,0.777
4093,-0.9604,0.777
4110,-0.8876,0.777
4127,-0.7883,0.777
4143,-0.6532,0.777
4159,-0.5035,0.777
4175,-0.3253,0.777
4191,-0.1467,0.777
4208,0.1830,0.777
4223,0.3484,0.777
4238,0.5141,0.777
4253,0.6532,0.777
4268,0.7730,0.777
4283,0.8761,0.777
4299,0.9456,0.777
4314,0.9873,0.777
4329,0.9997,0.777
4344,0.9783,0.777
4360,0.9285,0.777
4375,0.8449,0.777
4391,0.7410,0.777
4406,0.6055,0.777
4421,0.4605,0.777
4447,0.2903,0.777
4451,0.1224,0.777
4471,-0.0491,0.777
4483,-0.2430,0.777
4501,-0.4164,0.777
4515,-0.5858,0.777
4535,-0.7242,0.777
4548,-0.8449,0.777
4564,-0.9285,0.777
4581,-0.9831,0.777
4598,-1.0000,0.777
4613,-0.9808,0.777
4630,-0.9239,0.777
4646,-0.8382,0.777
4663,-0.7157,0.777
4686,-0.5758,0.777
4695,-0.4052,0.777
4712,-0.2311,0.777
4728,0.0980,0.777
4750,0.2667,0.777
4758,0.4386,0.777
4773,0.5858,0.777
4788,0.7242,0.777
4804,0.8315,0.777
4819,0.9142,0.777
4849,0.9729,0.777
4850,0.9981,0.777
4864,0.9939,0.777
4880,0.9569,0.777
4895,0.8876,0.777
4910,0.7958,0.777
4926,0.6716,0.777
4941,0.5350,0.777
4956,0.3713,0.777
4971,0.2071,0.777
4987,0.0245,0.777
5019,-0.1467,0.777
5019,-0.3369,0.777
5034,-0.5035,0.777
5051,-0.6624,0.777
5067,-0.7883,0.777
5083,-0.8932,0.777
5100,-0.9604,0.777
5121,-0.9963,0.777
5132,-0.9952,0.777
5149,-0.9569,0.777
5170,-0.8876,0.777
5182,-0.7807,0.777
5198,-0.6438,0.777
5214,-0.4929,0.777
5231,-0.3137,0.777
5249,0.0000,0.777
5261,0.1589,0.777
5276,0.3369,0.777
5291,0.4929,0.777
5311,0.6438,0.777
5322,0.7652,0.777
5340,0.8640,0.777
5352,0.9415,0.777
5367,0.9853,0.777
5385,0.9999,0.777
5408,0.9831,0.777
5413,0.9330,0.777
5441,0.8514,0.777
5444,0.7491,0.777
5459,0.6152,0.777
5476,0.4714,0.777
5489,0.3137,0.777
5505,0.1346,0.777
5520,-0.0368,0.777
5536,-0.2311,0.777
5552,-0.4052,0.777
5569,-0.5758,0.777
5602,-0.7157,0.777
5602,-0.8382,0.777
5617,-0.9239,0.777
5634,-0.9808,0.777
5650,-0.9999,0.777
5667,-0.9831,0.777
5683,-0.9330,0.777
5699,-0.8449,0.777
5716,-0.7242,0.777
5732,-0.5858,0.777
5754,-0.4164,0.777
5765,-0.2430,0.777
5781,0.0858,0.777
5796,0.2549,0.777
5812,0.4276,0.777
5827,0.5758,0.777
5847,0.7071,0.777
5857,0.8246,0.777
5872,0.9092,0.777
5887,0.9700,0.777
5903,0.9973,0.777
5918,0.9952,0.777
5937,0.9604,0.777
5949,0.8987,0.777
5966,0.8032,0.777
5979,0.6895,0.777
5995,0.5453,0.777
6010,0.3827,0.777
6025,0.2191,0.777
6040,0.0491,0.777
6059,-0.1346,0.777
6072,-0.3137,0.777
6088,-0.4929,0.777
6104,-0.6438,0.777
6125,-0.7807,0.777
6137,-0.8819,0.777
6153,-0.9569,0.777
6170,-0.9939,0.777
6189,-0.9963,0.777
6203,-0.9604,0.777
6225,-0.8932,0.777
6236,-0.7883,0.777
6255,-0.6624,0.777
6268,-0.5035,0.777
6284,-0.3253,0.777
6301,-0.1467,0.777
6317,0.1710,0.777
6332,0.3484,0.777
6347,0.5035,0.777
6362,0.6532,0.777
6378,0.7730,0.777
6393,0.8701,0.777
6413,0.9456,0.777
6423,0.9873,0.777
6438,0.9999,0.777
6454,0.9808,0.777
6474,0.9285,0.777
6484,0.8514,0.777
6505,0.7410,0.777
6515,0.6152,0.777
6533,0.4605,0.777
6545,0.3020,0.777
6561,0.1346,0.777
6576,-0.0491,0.777
